9.428,18.9592,27.6238
9.428,18.895475,27.634625
9.428,18.83175,27.64545
9.381,18.768025,27.656275
9.381,18.7043,27.6671
9.334,18.69374,27.64474
9.382,18.68318,27.62238
9.477,18.67262,27.60002
9.431,18.66206,27.57766
9.385,18.6515,27.5553
9.481,18.49068,27.36736
9.389,18.32986,27.17942
9.485,18.16904,26.99148
9.393,18.00822,26.80354
9.49,17.8474,26.6156
9.34,17.4791,26.06372
9.448,17.1108,25.51184
9.402,16.7425,24.95996
9.448,16.3742,24.40808
9.397,16.0059,23.8562
9.382,15.55934,22.9307
9.396,15.11278,22.0052
9.288,14.66622,21.0797
9.233,14.21966,20.1542
9.077,13.7731,19.2287
8.772,13.18448,18.23482
8.588,12.59586,17.24094
8.269,12.00724,16.24706
7.839,11.41862,15.25318
7.488,10.83,14.2593
7.15,10.391794,13.60984
6.899,9.953588,12.96038
6.601,9.515382,12.31092
6.236,9.077176,11.66146
6.051,8.63897,11.012
5.79,8.347604,10.593274
5.633,8.056238,10.174548
5.412,7.764872,9.755822
5.232,7.473506,9.337096
5.037,7.18214,8.91837
4.903,6.972752,8.622078
4.776,6.763364,8.325786
4.682,6.553976,8.029494
4.486,6.344588,7.733202
4.387,6.1352,7.43691
4.229,5.974848,7.220228
4.143,5.814496,7.003546
4.04,5.654144,6.786864
3.943,5.493792,6.570182
3.831,5.33344,6.3535
3.766,5.20423,6.185388
3.687,5.07502,6.017276
3.631,4.94581,5.849164
3.541,4.8166,5.681052
3.473,4.68739,5.51294
3.408,4.582368,5.375924
3.362,4.477346,5.238908
3.269,4.372324,5.101892
3.245,4.267302,4.964876
3.196,4.16228,4.82786
3.164,4.074108,4.716886
3.072,3.985936,4.605912
3.028,3.897764,4.494938
3.001,3.809592,4.383964
2.975,3.72142,4.27299
2.866,3.633248,4.162016
2.86,3.545076,4.051042
2.814,3.456904,3.940068
2.782,3.368732,3.829094
2.735,3.33585,3.80935
2.742,3.258736,3.716622
2.665,3.181622,3.623894
2.64,3.104508,3.531166
2.618,3.027394,3.438438
2.558,3.00304,3.41251
2.545,2.954362,3.353564
2.491,2.905684,3.294618
2.458,2.857006,3.235672
2.388,2.808328,3.176726
2.354,2.75965,3.11778
2.301,2.728496,3.082458
2.248,2.697342,3.047136
2.227,2.666188,3.011814
2.196,2.635034,2.976492
2.144,2.60388,2.94117
2.093,2.5884625,2.92326
2.043,2.573045,2.90535
2.024,2.5576275,2.88744
2.003,2.54221,2.86953
1.998,2.531,2.8512
